inst,pin,x,y,dist_left,dist_right,dist_bottom,dist_top
_07503_,C,505.30627,440.39587,505.3062744140625,366.6937255859375,440.3958740234375,426.7916259765625
_07488_,C,517.3063,447.33337,517.3062744140625,354.6937255859375,447.3333740234375,419.8541259765625
P1.IR[7]$_DFF_PP0_,Q,546.0625,565.40625,546.0625,325.9375,565.40625,301.78125
_07486_,D,510.80627,440.39587,510.8062744140625,361.1937255859375,440.3958740234375,426.7916259765625
_07503_,B,506.44794,440.39587,506.44793701171875,365.55206298828125,440.3958740234375,426.7916259765625
_07519_,B,518.7708,487.87503,518.7708129882812,353.22918701171875,487.8750305175781,379.3124694824219
_07550_,A,504.50003,537.44794,504.5000305175781,367.4999694824219,537.4479370117188,329.73956298828125
_07552_,A1,507.29587,509.69794,507.2958679199219,364.7041320800781,509.69793701171875,357.48956298828125
_07555_,B,513.3959,530.4583,513.3958740234375,358.6041259765625,530.4583129882812,336.72918701171875
_07595_,B1,511.51462,509.2917,511.5146179199219,360.4853820800781,509.29168701171875,357.89581298828125
_07596_,A1,511.30212,515.8333,511.3021240234375,360.6978759765625,515.8333129882812,351.35418701171875
P1.IR[8]$_DFF_PP0_,Q,499.06253,537.65625,499.0625305175781,372.9374694824219,537.65625,329.53125
_07598_,A2,519.4792,516.2292,519.4791870117188,352.52081298828125,516.2291870117188,350.95831298828125
_07555_,A,511.6042,530.4583,511.60418701171875,360.39581298828125,530.4583129882812,336.72918701171875
_07553_,A,499.9167,516.2854,499.91668701171875,372.08331298828125,516.285400390625,350.902099609375
_07519_,A,519.09375,488.45837,519.09375,352.90625,488.4583740234375,378.7291259765625
_07503_,A,507.61877,440.32294,507.6187744140625,364.3812255859375,440.32293701171875,426.86456298828125
_07486_,C,512.3063,440.39587,512.3062744140625,359.6937255859375,440.3958740234375,426.7916259765625
P1.IR[9]$_DFF_PP0_,Q,506.06253,523.78125,506.0625305175781,365.9374694824219,523.78125,343.40625
_14126_,A,573.44794,757.1501,573.4479370117188,298.55206298828125,757.1500854492188,110.03741455078125
_09952_,B2,576.375,697.0105,576.375,295.625,697.010498046875,170.177001953125
P1.addr[0]$_DFFE_PP0P_,Q,577.0625,711.0938,577.0625,294.9375,711.0938110351562,156.09368896484375
